Country Name,P2014,TMI,TFR, EVT , EVH , EVM , REG , ARE ,INC,OOS,TNT,TSB,ABS,GDP,IPC,ISR,MCS,TDS
Cabo Verde,513906,21.3,2.3,73.15,71.37,75.02,Sub-Saharan Africa,Africa,2687.79991,8.94543,21.388,0,22.06947891,3641.107656,-0.243630795,40.26,121.7897017,9.199999809
Cambodia,15328136,26.3,2.64,68.21,66.22,70.3,East Asia & Pacific,Asia & Oceania,890.3208064,17.47222,24.119,0,54.29639701,1094.576688,3.855238553,9,132.7337981,0.400000006
Cameroon,22773014,58.6,4.7,55.49,54.36,56.68,Sub-Saharan Africa,Africa,1210.495444,37.44645,36.736,0,40.26993294,1407.403413,1.947948268,11,75.6851331,4.300000191
Canada,35543658,4.4,1.61,81.96,80.02,83.99,North America,America,39892.38474,0,10.9,0,38.17179505,50230.80769,1.906635907,87.12,81.0393165,6.900000095
Cayman Islands,59172,,,,,,Latin America & Caribbean,America,0,0,0,0,52.91666667,0,0,74.1,153.7483538,0
Central African Republic,4804316,93.5,4.29,50.66,48.85,52.56,Sub-Saharan Africa,Africa,337.0322258,0,33.774,0,35.61205817,358.5378359,0,4.03,24.53960893,7.400000095
Chad,13587053,86.7,6.16,51.56,50.51,52.66,Sub-Saharan Africa,Africa,782.0508848,0,45.264,0,3.972045743,1024.668452,1.680835875,2.5,39.75097997,7
Channel Islands,162917,,1.47,80.61,78.73,82.58,Europe & Central Asia,Europe,0,0,9.463,0,4.210526316,0,0,0,0,0
Chile,17762647,7.2,1.76,81.5,78.64,84.49,Latin America & Caribbean,America,11092.33935,0,13.213,0,23.44781395,14528.32581,4.395,72.35,133.2556288,6.400000095
China,1364270000,9.8,1.56,75.78,74.29,77.35,East Asia & Pacific,Asia & Oceania,6419.476404,0,12.4,0,22.02539973,7590.016441,1.996847084,49.3,92.27349082,4.699999809
Colombia,47791393,14.1,1.9,73.99,70.5,77.66,Latin America & Caribbean,America,6209.206879,0,15.773,0,52.75210455,7903.925773,2.877810251,52.57,113.0811454,10.10000038
